address,auxo,prv,prv_staker,arv_locked,total,share,reward_share
0x0a188f038a186ffb9a45a6293977d680b3d258c4,2335596218896884581843,0,0,0,2335596218896884581843,0.00749523653604053577931942961982406690828108,653734530673455530
0x817393862c0965b80b24cad89abc33a3951236ad,38147477751317009128,0,0,0,38147477751317009128,0.000122420291095739321447064802778046182140167,10677497789370383
0x25a8ef415e516ff264411421e4f3756d777ce459,3548985491292936694,0,0,0,3548985491292936694,0.0000113891628634251476202646736492541187759380,993362784947941
0x6f46abc204adc0491bbe88c93a6f1d795686a05e,1717461243131671224,0,0,0,1717461243131671224,0.00000551155981269484434012489049151130065058206,480718246863244
0x9b954886b1047041ed8f4b1a5bc3694fdec2949d,1471310219957022245,0,0,0,1471310219957022245,0.00000472162869045926594029742182556366613970324,411820454381857
0x36a017ef1f7c5ed5843b446ce0fa95448ad4d475,1306562541811580519,0,0,0,1306562541811580519,0.00000419293164664970900298608197032340134743963,365707498220787
0x1ac408ecdd56b13b59cd116315cc9bedc1db3bc4,1092153976966001453,0,0,0,1092153976966001453,0.00000350486626280111887063339919267822123643103,305694435441513
0xdde9249b79ae81abfbd9a46ea320b8e1650b52b6,1037147643475138241,0,0,0,1037147643475138241,0.00000332834367847827180001443665947530151831570,290298135636874
0x35ceb8027b95de1d5aaa7d9771bf0c4ec33b67af,1028947808557859815,0,0,0,1028947808557859815,0.00000330202932595268244496391722587754038835632,288002997809592
0xf2d79f05c90befafde54a39dee8dfed8648de04e,983880944087793450,0,0,0,983880944087793450,0.00000315740380960364196111306019418557732177620,275388760273629
0x2f63dafab5b3d06cbf1af31fcfcfaf26ae07f9d6,967681881899496566,0,0,0,967681881899496566,0.00000310541888096702131506977796494137110755179,270854634797943
0x4038a44b34dc6974b2d609715c00da7df845c4f9,967220301377483200,0,0,0,967220301377483200,0.00000310393760814900260011665478792250553500934,270725438182756
0x9008d19f58aabd9ed0d60971565aa8510560ab41,949927936623953351,0,0,0,949927936623953351,0.00000304844412727823280882598814532700850371660,265885296781207
0x457842b4fe9e58bf72faef150743a6be02bfd9f6,949728595669536992,0,0,0,949728595669536992,0.00000304780441584498842700428218279033536785690,265829501149999
0xbc600a46753caab9d362fb372be3ae34281ed999,945784918843936542,0,0,0,945784918843936542,0.00000303514863639543201419627075426718014443663,264725664066409
0xdd37e2feb498638354b372dcfa4225aec175a155,941870750541151335,0,0,0,941870750541151335,0.00000302258755369034706508208345528250755666232,263630086432872
0x70cad98fc1c4af04dd92e5e7e17c5531e00afd14,885885921736154261,0,0,0,885885921736154261,0.00000284292484875525456995667888626323611909534,247959905308433
0xb45a2dda996c32e93b8c47098e90ed0e7ab18e39,860834877397987704,0,0,0,860834877397987704,0.00000276253274104835001160182578469648393568791,240948105674237
0x509076dfd28bc819860cb696a38bbe89324d1c11,860572380678779158,0,0,0,860572380678779158,0.00000276169035443011344108779041624254418466378,240874632713394
0x109c7953ee8540503abbdc38ed75893f740f1716,849154635266836441,0,0,0,849154635266836441,0.00000272504930240305477431430443000055527400515,237678800155594
0xb00c22f7df5ef12c3108a2c95f8133d208045852,821703315970471536,0,0,0,821703315970471536,0.00000263695439554890356380364830906681225362204,229995162379775
0x4374b88d8f2ea2c67b768ed404becdac6868a0ef,790805903002837669,0,0,0,790805903002837669,0.00000253780051926222239858715736036980190722341,221346961290051
0x5d3e6e1b96efd3cbb75f2a911b88c60ccda616b6,763628742589954720,0,0,0,763628742589954720,0.00000245058542445072151013485406384795845427397,213740060720591
0xe1e1f32f5d86e4bcf91c375e09d02225a76c8d21,750506282588750299,0,0,0,750506282588750299,0.00000240847371830563621719830230406605773483161,210067077710617
0x93f59368682aa778ccf34a2d89a175ab98a48cec,725416445924701879,0,0,0,725416445924701879,0.00000232795712090487307871815475107810857327468,203044420085323
0xfc8bcf483029f585b8c2425644ce83c09413c8ba,709073640395459702,0,0,0,709073640395459702,0.00000227551090091482895897897992119061449673929,198470060777791
0xa1ad9751882466b98725433c57790233fbb6ff53,701740589724383922,0,0,0,701740589724383922,0.00000225197817344002465821110897814651378028625,196417536287438
0xb1a42d5f83e9b700592ba55d5116b2a46cb64b58,700302315150536150,0,0,0,700302315150536150,0.00000224736256049822365367888306626136342556164,196014962526655
0xa0dd51fd636afc3ff8180ee60bc9c4ab9c983744,689915344226023603,0,0,0,689915344226023603,0.00000221402939985071776429523845644605078414189,193107644254979
0x382680f87cb83bda5d1b7973b8c274c9b216538d,681367745353189222,0,0,0,681367745353189222,0.00000218659902689124019617896491709299409683943,190715167125453
0xc4c07d6e666699ccbc2f93fc9a525d271651821a,649673440313109029,0,0,0,649673440313109029,0.00000208488781876425411885838562274267435999182,181843915552618
0x769bdbf85fe63e60460cb1e3399889856d72e7b2,644423233311231312,0,0,0,644423233311231312,0.00000206803921153331945639948110568011287732023,180374380029936
0x03da6b5a21e3f3bf9c508ae7e97510887e1aeabb,644066316296957129,0,0,0,644066316296957129,0.00000206689381772591474180318596950349359381918,180274478782054
0xba0b6ef6736eba5ffae42484839c7a5ccc184ee7,608972387480085697,0,0,0,608972387480085697,0.00000195427276819122480030047548417946100839120,170451670841638
0xe26cd9c267b002c9dfbd3e933145f09fe2c36968,602814646813033332,0,0,0,602814646813033332,0.00000193451176564560834396955078748589143458786,168728116199609
0x640c02695ce18b9298a067803718ab10416c5ae4,581339507146831365,0,0,0,581339507146831365,0.00000186559520800590071666636202113196219562826,162717214042274
