address,auxo,prv,prv_staker,arv_locked,total,share,reward_share
0x0a188f038a186ffb9a45a6293977d680b3d258c4,2335596218896884581843,0,0,0,2335596218896884581843,0.00749523894136163964212847419423484730266055,37476194706808198210
0x817393862c0965b80b24cad89abc33a3951236ad,38147477751317009128,0,0,0,38147477751317009128,0.000122420330382039133028837261055849985398819,612101651910195665
0x25a8ef415e516ff264411421e4f3756d777ce459,3548985491292936694,0,0,0,3548985491292936694,0.0000113891665183590058115722692691167243976330,56945832591795029
0x6f46abc204adc0491bbe88c93a6f1d795686a05e,1717461243131671224,0,0,0,1717461243131671224,0.00000551156158142770139286501790994661226705443,27557807907138506
0x9b954886b1047041ed8f4b1a5bc3694fdec2949d,1471310219957022245,0,0,0,1471310219957022245,0.00000472163020569271843455368828171380794607110,23608151028463592
0x36a017ef1f7c5ed5843b446ce0fa95448ad4d475,1306562541811580519,0,0,0,1306562541811580519,0.00000419293299221724756508597630521487049646368,20964664961086237
0x1ac408ecdd56b13b59cd116315cc9bedc1db3bc4,1092153976966001453,0,0,0,1092153976966001453,0.00000350486738755932331093586501890830484175000,17524336937796616
0xdde9249b79ae81abfbd9a46ea320b8e1650b52b6,1037147643475138241,0,0,0,1037147643475138241,0.00000332834474658803087925244715482181265554486,16641723732940154
0x35ceb8027b95de1d5aaa7d9771bf0c4ec33b67af,1028947808557859815,0,0,0,1028947808557859815,0.00000330203038561781577290817627736936576121449,16510151928089078
0xf2d79f05c90befafde54a39dee8dfed8648de04e,983880944087793450,0,0,0,983880944087793450,0.00000315740482285652332626997214510655865015372,15787024114282616
0x2f63dafab5b3d06cbf1af31fcfcfaf26ae07f9d6,967681881899496566,0,0,0,967681881899496566,0.00000310541987753724759239671983344394903799977,15527099387686237
0x4038a44b34dc6974b2d609715c00da7df845c4f9,967220301377483200,0,0,0,967220301377483200,0.00000310393860424386872668297492167305260796307,15519693021219343
0x9008d19f58aabd9ed0d60971565aa8510560ab41,949927936623953351,0,0,0,949927936623953351,0.00000304844510556450276588673969160911202935247,15242225527822513
0x457842b4fe9e58bf72faef150743a6be02bfd9f6,949728595669536992,0,0,0,949728595669536992,0.00000304780539392596647588225580066501905085289,15239026969629832
