address,token_address,token_symbol,token_decimals,token_amount,token_non_decayed_amount,token_lock_amount,token_lock_lockDuration,token_lock_lockedAt
0x19a61e7238270CA99F931C08D7BcfF1984F38AE4,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,427083673425271384725,442766756688027321357,442766756688027321357,94608000,1682082203
0x477c8ece9393713D258169Aa50cDaF27E422214d,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,414713858051153046749,429942705161772016221,429942705161772016221,94608000,1682381903
0xB6fcA91D1c166564cC9888F96b3B553f42C96349,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,379484556259695052367,393419736326446407095,393419736326446407095,94608000,1682841455
0x91B26b4B49525fDFfff2B099190149a52A36c3cA,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,366256169336599405533,379705585356500204835,379705585356500204835,94608000,1681916171
0x4D04EB67A2D1e01c71FAd0366E0C200207A75487,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,362419595104556033130,362419595104556033130,362419595104556033130,94608000,1683225299
0x784F0d732aF31C7d70F2e37761D388Ce172c7482,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,360336667515253065232,360336667515253065232,360336667515253065232,94608000,1684222643
0x2459d93923CC940E3AA1935Ead83eF8011534BB1,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,338404322564265573475,350830981548176653787,350830981548176653787,94608000,1682211587
0xB478d2e5D241683667e15c9c79a2Bc0e5aF35923,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,334935545367931091972,347234826217356819352,347234826217356819352,94608000,1682281655
0xB0331b22161cA290A15f825A29C008dCB5e1ff68,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,292280716686824728705,303013655221173802420,303013655221173802420,94608000,1682667011
0x67017BEbE2A4B8645B28F83D5D472618b35a1230,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,255575299826277106678,264960366398672433235,264960366398672433235,94608000,1682231759
0x42556f667Dfc74704914F98d1e0c0aC4Ea2f492e,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,255070207755560824554,255070207755560824554,683193523491858500430,44676000,1683704627
0x2437Db820DE92d8DD64B524954fA0D160767c471,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,226383584606624676293,234696692382981936160,234696692382981936160,94608000,1682123915
0x1Ec289BD5F002B7969887b8E18a1625052a67D0d,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,191329739576062456761,204168134382265410397,411966300314619429256,55188000,1682727431
0xD6ccB9d49A2ecd78efC35D6C733214029a1C74cB,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,194992544230131479861,202152931051410559936,202152931051410559936,94608000,1682016827
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,187735779532839074127,194629688256154106839,194629688256154106839,94608000,1681913231
0xeb4135a5fff5cD44c08614f012e103a6429f65B3,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,169731165165736449667,175963920387283428194,175963920387283428194,94608000,1681976675
0xDccc5094404422cD48CD7AfA95b618fE0Cd3d0Fe,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,160431066095328964409,160431066095328964409,194419717538153385185,81468000,1683857699
0x955A44E6baC7c2424Bb52b81870C01D28fCE0038,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,157398188473439885058,157398188473439885058,157398188473439885058,94608000,1683884555
0xaFbA26E1E3A95d5002a4f91395584803C0B2C0dB,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,155959063539779277749,155959063539779277749,174371061719217429202,86724000,1684309007
0xCaB5541bad35e9ee799BeA9765C3c416D8Cc1Bb8,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,146482854786326741427,146482854786326741427,146482854786326741427,94608000,1684037687
0xaA1A54BfA93Be8Ac8D01182827433F227ba59e17,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,130302555446281230775,135087439424693176179,135087439424693176179,94608000,1682621447
0x343E3391e48d3a33F731D35A5179a26fd2b5f693,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,127324415033034963415,131999937715346480849,131999937715346480849,94608000,1682862311
0xe5cD86ff7f825a0ff6f699828D5c9bf163C0e3F9,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,114634977752416450440,118844527339026661623,118844527339026661623,94608000,1682239691
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,105609836487056901982,109487970824782553609,109487970824782553609,94608000,1682032199
0x00C67d9D6D3D13b42a87424E145826c467CcCd84,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,93266535532063020003,100289575717516578243,231266026932522354597,49932000,1682341727
0xedf4FA418216A13E7629fED73e7448985CC8Bc82,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,88163277383284759912,91400750754322986054,91400750754322986054,94608000,1681966223
0x14B30b46ec4fA1a993806bd5Dda4195C5a82353e,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,72379776777150087678,75037658912123231812,75037658912123231812,94608000,1682221595
0x3070f20f86fDa706Ac380F5060D256028a46eC29,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,67093060775798966171,69556807633788170000,69556807633788170000,94608000,1682429879
0x4f38F2DA7720F1077A45b80E88c0A78C0144c136,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,69202496493264175282,69202496493264175282,69202496493264175282,94608000,1684009307
0x305308cC98560E63e933A6bD70392617c9829BF8,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,61372314069320456517,63625987462774524557,63625987462774524557,94608000,1682334515
0x8bFD3c3fc34F068C66796880756cC93ffDC6d080,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,63505657496474496669,63505657496474496669,63505657496474496669,94608000,1684218479
0xa1E91a4CF28f8C098C7bAb3093734Ad38B89f278,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,61812580967321553818,61812580967321553818,153272016948061091191,47304000,1683783731
0x7d0a2547b23e5F91F448bD9D2ae994748Af2C1E3,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,57247384367325511233,57247384367325511233,102408030364454547840,60444000,1683926627
0xD781F65cD90eE9418C70d1D244192C349Bf1176c,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,50000000000000000000,50000000000000000000,50000000000000000000,94608000,1684414475
0x2067BEd542762D26E2755Ce7d8776728F3429f48,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,50000000000000000000,50000000000000000000,50000000000000000000,94608000,1684053683
0xb4367aBE9d87C508eceb60c422cBBF8E34Aa8dc9,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,38895243530135148772,40323528853982847830,40323528853982847830,94608000,1682307803
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,37329213621260309236,38699992233938569041,38699992233938569041,94608000,1682239643
0xbD1bfF03034aC340235E48EE35c85b1121b8198e,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,36455731754745372898,37794434945923217597,37794434945923217597,94608000,1682164907
0x7dd508a1e4Da1243789B799a480f8B45e58b1B5b,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,29198456550958838935,30270662897691907146,30270662897691907146,94608000,1682141279
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,28938331996734097067,28938331996734097067,44070543168479420000,68328000,1683984131
0x7ecF3a3ea7Cfd250dA7fc33d85bb2157706f247C,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,27752046385367558881,28771138617769975230,28771138617769975230,94608000,1682770571
0xd384Cc029B537503895fE252f94FBA87A05D677E,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,23328974625651820726,24813317212225924882,47072729521391120152,57816000,1681982651
0xadC5012f0206031632b09ddb61dBe84e41D66570,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,23982217146040890687,23982217146040890687,23982217146040890687,94608000,1684172363
0x2b614ecc9e91aF9D056EB8ACcCF5D9928A7cF4F7,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,16606600914370800000,16606600914370800000,16606600914370800000,94608000,1684150175
0x62661B101ca48734668669a9F1Cb83c4889049F3,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,14766918824579050568,14766918824579050568,14766918824579050568,94608000,1684472819
0x65B0F840ea292fc284C23Fc839e65b3951d46195,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,12607376820951461608,12607376820951461608,33768264306859785873,44676000,1684156523
0x7B79c37Bb80cc76Fe6b758c7140228FEcc7e2A2e,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,7943460740865766766,8235155235282511791,8235155235282511791,94608000,1681899575
0x976DcA1615502419B7003A1853E022b023d47Cf4,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,5613196633656247123,6063288963116888486,15034682489753235755,47304000,1682023883
0xA483C9954E8c6B43cBb6DBdeCAE14F98D81789e0,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,5616766972991156304,5616766972991156304,9500055015622193950,63072000,1684054199
0xe8537cC2abDf20CfB8D0409BFc00E9Ff883Fa927,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,3463838496772338780,3463838496772338780,5275122423015751431,68328000,1684054259
0x679A51D6F75Ea1bdCd8Cb2d3F3e6dE4663718cAd,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,1929158713811000000,2000000000000000000,2000000000000000000,94608000,1681904543
0xFDaF56c89Caf56Dc65192f1a80e2166F9e5a7A43,0x069c0Ed12dB7199c1DdAF73b94de75AAe8061d33,ARV,18,37334986205940000,37334986205940000,100000000000000000,44676000,1684221815
