voter,choice,created,proposal_id,proposal_title,proposal_author,proposal_created,proposal_start,proposal_end,proposal_choices_0,proposal_choices_1
0x1A1087Bf077f74fb21fD838a8a25Cf9Fe0818450,1,1685949925,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x89d2D4934ee4F1f579056418e6aeb136Ee919d65,1,1685948637,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x4281579D99d855F2430C95a13720e53a0fCC0549,1,1685948616,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xa30C7B2e676bE6b0C26D631c8161b62eBeBC3cD2,1,1685948563,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xd27d90b337717Fd91C4D409F712B890D4eE2FdD6,1,1685919217,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0xe5cD86ff7f825a0ff6f699828D5c9bf163C0e3F9,1,1685904651,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x7dd508a1e4Da1243789B799a480f8B45e58b1B5b,1,1685896235,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x1959b5EFb8fdD52C688c1D685Ad8F3D82ea27B01,1,1685893486,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x67017BEbE2A4B8645B28F83D5D472618b35a1230,1,1685888363,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,1,1685871524,0x1eff01fbb345490b1bc89393aab1e1bf16e174b56fd98618614f4caa84ee1e07,[Epoch-0] MerkleTree Notarization,0x0810C422E4abD05c752618B403d26cf60bB50B5C,1685708362,1685708360,1685967560,Valid,Invalid
